Feature,Importance
of,0.11559105060803539
to,0.09574943264060434
and,0.0879602995622005
is,0.07582452959722519
the,0.0669960849639056
in,0.06407501817402411
as,0.06337099434644494
number,0.0541093483212901
are,0.05102317883962826
the system,0.04973557663885449
for,0.03978585037378179
to the,0.03754966072870524
train,0.0365495837448496
or,0.035109775300050175
shall,0.03464474959698089
of the,0.031035703105778852
other,0.030413624557704213
data,0.029735045620676775
call,0.028982365549283177
with,0.028121010513137746
