Feature,Importance
not,0.22188361416142982
is,0.08557692999853102
the,0.08086090325266848
of,0.07614865067291691
and,0.07605535495002327
shall be,0.06821762986816347
as,0.05180906653445962
with,0.04588405230245929
without,0.0455859637347188
system,0.045393000186897
if,0.042785346821903915
be,0.042707955515494514
call,0.04229480320177027
no,0.040487676719128354
that,0.03957923829963508
or,0.03388329908521847
are,0.030499677552081463
to,0.03027903829232144
it,0.02834624962484953
this,0.02264250701159344
