Feature,Importance
and,0.10915904439971498
as,0.09852422223725248
support,0.0802050640894635
to,0.07663807765797713
for,0.060724855740601165
of,0.05886130688937002
the,0.055829905802538285
this,0.04299441675074192
is,0.041273364431673
tcs,0.033819077942615204
number,0.03236459080431333
possible,0.03072853196274213
minimum,0.03058282490476382
it,0.030245566972734037
or,0.03005158710039447
time,0.029832830609292624
in,0.02932450933301829
tcs shall,0.02835782289190693
required,0.027976261767969697
on,0.025837595941266948
