Feature,Importance
all,0.13957751474547242
of,0.10122382377968762
user,0.06632264114447563
that,0.0650847506647784
shall be,0.06503596067509204
any,0.06392996708642522
to,0.06242221640784243
this,0.044420219285128494
network,0.04229035049753178
each,0.04149763040654276
data,0.037543084754101834
the,0.03723085273359034
radio,0.036519550065356586
for,0.03527620127461516
of the,0.034485058078538904
by,0.03259303322761348
at,0.0323556964791796
to the,0.029208480718001
one,0.02904737012860675
following,0.027851746086329784
