Label,Feature,Importance
Subjective,to,0.07856558421161658
Subjective,be,0.06690820519406539
Subjective,by,0.05514425677036558
Subjective,and,0.05180238681796193
Subjective,for,0.04572152948331943
Subjective,with,0.04380108901241815
Subjective,train,0.04272033845606619
Subjective,should,0.04231618621124742
Subjective,shall be,0.03975201023727467
Subjective,or,0.03863700016322365
Subjective,tcs,0.03769701460806536
Subjective,the system,0.03469872500857138
Subjective,radio,0.03365215110052509
Subjective,calls,0.03150459288303269
Subjective,as,0.029266845366000563
Subjective,call,0.02871556585269378
Subjective,of,0.027777951417540185
Subjective,should be,0.027106411053029217
Subjective,be able,0.024328734622642026
Subjective,driver,0.024240455011960437
Ambiguous,of,0.11559105060803539
Ambiguous,to,0.09574943264060434
Ambiguous,and,0.0879602995622005
Ambiguous,is,0.07582452959722519
Ambiguous,the,0.0669960849639056
Ambiguous,in,0.06407501817402411
Ambiguous,as,0.06337099434644494
Ambiguous,number,0.0541093483212901
Ambiguous,are,0.05102317883962826
Ambiguous,the system,0.04973557663885449
Ambiguous,for,0.03978585037378179
Ambiguous,to the,0.03754966072870524
Ambiguous,train,0.0365495837448496
Ambiguous,or,0.035109775300050175
Ambiguous,shall,0.03464474959698089
Ambiguous,of the,0.031035703105778852
Ambiguous,other,0.030413624557704213
Ambiguous,data,0.029735045620676775
Ambiguous,call,0.028982365549283177
Ambiguous,with,0.028121010513137746
Nonverifiable,and,0.10915904439971498
Nonverifiable,as,0.09852422223725248
Nonverifiable,support,0.0802050640894635
Nonverifiable,to,0.07663807765797713
Nonverifiable,for,0.060724855740601165
Nonverifiable,of,0.05886130688937002
Nonverifiable,the,0.055829905802538285
Nonverifiable,this,0.04299441675074192
Nonverifiable,is,0.041273364431673
Nonverifiable,tcs,0.033819077942615204
Nonverifiable,number,0.03236459080431333
Nonverifiable,possible,0.03072853196274213
Nonverifiable,minimum,0.03058282490476382
Nonverifiable,it,0.030245566972734037
Nonverifiable,or,0.03005158710039447
Nonverifiable,time,0.029832830609292624
Nonverifiable,in,0.02932450933301829
Nonverifiable,tcs shall,0.02835782289190693
Nonverifiable,required,0.027976261767969697
Nonverifiable,on,0.025837595941266948
Negative,not,0.22188361416142982
Negative,is,0.08557692999853102
Negative,the,0.08086090325266848
Negative,of,0.07614865067291691
Negative,and,0.07605535495002327
Negative,shall be,0.06821762986816347
Negative,as,0.05180906653445962
Negative,with,0.04588405230245929
Negative,without,0.0455859637347188
Negative,system,0.045393000186897
Negative,if,0.042785346821903915
Negative,be,0.042707955515494514
Negative,call,0.04229480320177027
Negative,no,0.040487676719128354
Negative,that,0.03957923829963508
Negative,or,0.03388329908521847
Negative,are,0.030499677552081463
Negative,to,0.03027903829232144
Negative,it,0.02834624962484953
Negative,this,0.02264250701159344
Vague,all,0.13957751474547242
Vague,of,0.10122382377968762
Vague,user,0.06632264114447563
Vague,that,0.0650847506647784
Vague,shall be,0.06503596067509204
Vague,any,0.06392996708642522
Vague,to,0.06242221640784243
Vague,this,0.044420219285128494
Vague,network,0.04229035049753178
Vague,each,0.04149763040654276
Vague,data,0.037543084754101834
Vague,the,0.03723085273359034
Vague,radio,0.036519550065356586
Vague,for,0.03527620127461516
Vague,of the,0.034485058078538904
Vague,by,0.03259303322761348
Vague,at,0.0323556964791796
Vague,to the,0.029208480718001
Vague,one,0.02904737012860675
Vague,following,0.027851746086329784
