requirement,dataset,source_file,Subjective,Ambiguous,Nonverifiable,Negative,Vague
"
                The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.
            ",DS1,0000 - cctns.xml,-,-,possible,-,-
"
                The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.
            ",DS1,0000 - cctns.xml,-,-,possible,-,-
"
           Linking back to the home page or landmark pages: Each page should contain a link leading to the home page of the application or to a landmark page that is easy to recognize for the user.
           ",DS1,0000 - cctns.xml,easy,back,-,-,-
"
           Linking back to the home page or landmark pages: Each page should contain a link leading to the home page of the application or to a landmark page that is easy to recognize for the user.
           ",DS1,0000 - cctns.xml,-,back,-,-,-
"4) targeting, and 5) C4I system interface.",DS4,1999 - tcs,-,-,-,-,-
"4) targeting, and 5) C4I system interface.",DS4,1999 - tcs,-,-,-,-,-
A train shall be supervised to its static and dynamic train speed profiles.,DS1,2007-ertms.xml,-,-,-,-,its
A train shall be supervised to its static and dynamic train speed profiles.,DS3,xml_ertms.json,-,-,-,-,-
Assume Yoggie will freeze the baseline of the USB system after delivery.,DS1,0000 - gamma j.xml,-,-,-,-,-
Assume Yoggie will freeze the baseline of the USB system after delivery.,DS3,xml_gamma.json,-,-,-,-,-
"Based on all relevant data, the ETCS shall calculate an emergency braking curve and a service braking curve
",DS1,2007-ertms.xml,relevant*emergency,-,-,-,-
"Based on all relevant data, the ETCS shall calculate an emergency braking curve and a service braking curve
",DS1,2007-ertms.xml,relevant*emergency,-,-,-,-
Both anticipated and unanticipated user requests (traffic) are considered.,DS1,NEW - 2008 - peering.xml,-,-,-,-,-
Both anticipated and unanticipated user requests (traffic) are considered.,DS3,xml_peering.json,-,-,-,-,-
"Compatibility is only tested and verified for Microsoft Internet Explorer version 6 and 7, Netscape Communicator Version 4 and 5. Other versions may not be 100% compatible. Also other browsers such as Mozilla or Firefox may not be 100% compatible.",DS1,0000 - gamma j.xml,-,-,-,not,may
"Compatibility is only tested and verified for Microsoft Internet Explorer version 6 and 7, Netscape Communicator Version 4 and 5. Other versions may not be 100% compatible. Also other browsers such as Mozilla or Firefox may not be 100% compatible.",DS3,xml_gamma.json,-,-,-,not,-
Effective content delivery is ensured through SLA satisfaction.,DS1,NEW - 2008 - peering.xml,Effective ,-,-,-,-
Effective content delivery is ensured through SLA satisfaction.,DS3,xml_peering.json,effective content,-,satisfaction,-,-
"FTSS shall (3.3.5.34) provide an API call which allows the application to notify FTSS that an FCP, ICP, or NE is intentionally being powered down.",DS4,2000 - nasa x38,-,-,-,-,-
"FTSS shall (3.3.5.34) provide an API call which allows the application to notify FTSS that an FCP, ICP, or NE is intentionally being powered down.",DS4,2000 - nasa x38,-,-,-,-,-
"Following successful completion of Train Data Entry, the driver shall be able to perform shunting movements or train movements.",DS1,2007-ertms.xml,successful,-,-,-,-
"Following successful completion of Train Data Entry, the driver shall be able to perform shunting movements or train movements.",DS3,xml_ertms.json,-,-,-,-,-
"For returning customers, the system shall validate 'existing' credit card in system after each log in.",DS1,0000 - gamma j.xml,-,-,-,-,-
"For returning customers, the system shall validate 'existing' credit card in system after each log in.",DS3,xml_gamma.json,-,-,-,-,-
Functional policies are identified and deployed.,DS1,NEW - 2008 - peering.xml,-,-,-,-,-
Functional policies are identified and deployed.,DS3,xml_peering.json,-,-,-,-,-
In the Normal Operations Mode the TCS shall support the following functions: [SSS037],DS2,1999 - tcs.xml,-,normal,-,-,-
In the Normal Operations Mode the TCS shall support the following functions: [SSS037],DS4,1999 - tcs,-,-,support*,-,-
Interaction protocols between PAs are identified.,DS1,NEW - 2008 - peering.xml,-,-,-,-,-
Interaction protocols between PAs are identified.,DS3,xml_peering.json,-,-,-,-,-
Malicious requests are detected and rejected.,DS1,NEW - 2008 - peering.xml,-,-,-,-,-
Malicious requests are detected and rejected.,DS3,xml_peering.json,-,-,-,-,-
Malicious requests are identified and acted upon.,DS1,NEW - 2008 - peering.xml,-,upon,-,-,-
Malicious requests are identified and acted upon.,DS3,xml_peering.json,malicious requests,-,malicious requests,-,-
Mediator works in conjunction with the PA to establish negotiation.,DS1,NEW - 2008 - peering.xml,-,-,-,-,-
Mediator works in conjunction with the PA to establish negotiation.,DS3,xml_peering.json,-,-,-,-,-
"Mediator-SR, mediator-PR, mediator-PA interaction protocols are defined.",DS1,NEW - 2008 - peering.xml,-,-,-,-,-
"Mediator-SR, mediator-PR, mediator-PA interaction protocols are defined.",DS3,xml_peering.json,-,-,-,-,-
Negotiation is established between selected CDN peers.,DS1,NEW - 2008 - peering.xml,-,-,-,-,-
Negotiation is established between selected CDN peers.,DS3,xml_peering.json,-,-,-,-,-
Only registered customers can purchase streaming movies.,DS3,text_requirements.json,-,-,-,-,-
Only registered customers can purchase streaming movies.,DS3,text_requirements.json,-,-,-,-,-
Policies are in place to perform renegotiation for problem resolution.,DS1,NEW - 2008 - peering.xml,-,-,-,-,-
Policies are in place to perform renegotiation for problem resolution.,DS1,NEW - 2008 - peering.xml,-,-,-,-,-
Policies are in place to perform renegotiation for problem resolution.,DS3,xml_peering.json,-,-,-,-,-
Policies identifying the consequences of SLA violation are defined.,DS1,NEW - 2008 - peering.xml,-,-,-,-,-
Policies identifying the consequences of SLA violation are defined.,DS3,xml_peering.json,-,-,-,-,-
Primary CDN has already acquired sufficient external resources.,DS1,NEW - 2008 - peering.xml,-,-,sufficient ,-,-
Primary CDN has already acquired sufficient external resources.,DS3,xml_peering.json,-,-,sufficient,-,-
Remotely hosted applications shall communicate in a client server relationship via the defined data server interface. [SSS329],DS2,1999 - tcs.xml,-,-,-,-,-
Remotely hosted applications shall communicate in a client server relationship via the defined data server interface. [SSS329],DS4,1999 - tcs,-,-,-,-,-
"Resource provisioning, delegation and reservation policies are in place",DS1,NEW - 2008 - peering.xml,-,-,-,-,-
"Resource provisioning, delegation and reservation policies are in place",DS3,xml_peering.json,-,-,-,-,-
"Shutdown of the TCS shall include storage as well as deletion, as specified by the operator, of mission data files [SSS044], shutdown of appropriate functions [SSS045], shutdown of HCIs [SSS046], and proper termination of all active interfaces [SSS047].",DS4,1999 - tcs,-,-,-,-,all*
"Shutdown of the TCS shall include storage as well as deletion, as specified by the operator, of mission data files [SSS044], shutdown of appropriate functions [SSS045], shutdown of HCIs [SSS046], and proper termination of all active interfaces [SSS047].",DS4,1999 - tcs,-,-,-,-,all*
"TCS hardware flexibility and expansion shall be provided through use of GFE, NDI and COTS hardware designed to be upgraded and expanded. [SSS440]",DS2,1999 - tcs.xml,-,-,-,-,-
"TCS hardware flexibility and expansion shall be provided through use of GFE, NDI and COTS hardware designed to be upgraded and expanded. [SSS440]",DS4,1999 - tcs,-,-,-,-,-
TCS shall be capable of executing AV maintenance software and displaying appropriate status results. [SSS245],DS2,1999 - tcs.xml,-,capappropriate,appropriate,-,-
TCS shall be capable of executing AV maintenance software and displaying appropriate status results. [SSS245],DS4,1999 - tcs,-,-,-,-,-
TCS shall be capable of executing data terminal maintenance software and displaying appropriate status results. [SSS247],DS2,1999 - tcs.xml,-,capappropriate,appropriate,-,-
TCS shall be capable of executing data terminal maintenance software and displaying appropriate status results. [SSS247],DS4,1999 - tcs,-,-,-,-,-
TCS shall be capable of executing payload maintenance software and displaying appropriate status results. [SSS246],DS2,1999 - tcs.xml,-,capappropriate,appropriate,-,-
TCS shall be capable of executing payload maintenance software and displaying appropriate status results. [SSS246],DS4,1999 - tcs,-,-,-,-,-
TCS shall be capable of executing workstation and peripheral equipment maintenance software and displaying appropriate status results. [SSS248],DS2,1999 - tcs.xml,-,capappropriate,appropriate,-,-
TCS shall be capable of executing workstation and peripheral equipment maintenance software and displaying appropriate status results. [SSS248],DS4,1999 - tcs,-,-,-,-,-
TCS shall provide the capability to monitor payload adherence to the uplinked mission plan. [SSS155],DS2,1999 - tcs.xml,-,-,-,-,-
TCS shall provide the capability to monitor payload adherence to the uplinked mission plan. [SSS155],DS4,1999 - tcs,-,-,-,-,-
"The TCS Mission plan shall include all necessary information required to be interoperable with the service specific mission planning systems including the Tactical Aircraft Mission Planning System (TAMPS), Aviation Mission Planning System (AMPS), and Air Force Mission Support System (AFMSS). [SSS051",DS4,1999 - tcs,-,-,-,-,all*
"The TCS Mission plan shall include all necessary information required to be interoperable with the service specific mission planning systems including the Tactical Aircraft Mission Planning System (TAMPS), Aviation Mission Planning System (AMPS), and Air Force Mission Support System (AFMSS). [SSS051",DS4,1999 - tcs,-,-,-,-,all*
"The TCS data latency shall not be greater than that present in the Predator ground control station or Outrider ground control station, whichever is smaller. [SSS409]",DS2,1999 - tcs.xml,-,present,-,not,whichever
"The TCS data latency shall not be greater than that present in the Predator ground control station or Outrider ground control station, whichever is smaller. [SSS409]",DS4,1999 - tcs,-,-,-,not*,-
