Fold,Label,Precision,Recall,F1
1,Subjective,0.2222222222222222,0.5428571428571428,0.3153526970954357
1,Ambiguous,0.44782608695652176,0.6866666666666666,0.5421052631578948
1,Nonverifiable,0.296969696969697,0.5632183908045977,0.3888888888888889
1,Negative,0.42748091603053434,0.9180327868852459,0.5833333333333334
1,Vague,0.43548387096774194,0.6585365853658537,0.5242718446601942
2,Subjective,0.291970802919708,0.5714285714285714,0.3864734299516908
2,Ambiguous,0.4766355140186916,0.68,0.5604395604395604
2,Nonverifiable,0.3586206896551724,0.6046511627906976,0.45021645021645024
2,Negative,0.41353383458646614,0.8870967741935484,0.5641025641025641
2,Vague,0.3698630136986301,0.6666666666666666,0.47577092511013214
3,Subjective,0.2558139534883721,0.4714285714285714,0.3316582914572864
3,Ambiguous,0.463768115942029,0.6357615894039735,0.5363128491620112
3,Nonverifiable,0.35294117647058826,0.6206896551724138,0.45
3,Negative,0.4067796610169492,0.7741935483870968,0.5333333333333333
3,Vague,0.5046728971962616,0.6666666666666666,0.574468085106383
4,Subjective,0.28776978417266186,0.5714285714285714,0.3827751196172249
4,Ambiguous,0.47844827586206895,0.7350993377483444,0.5796344647519582
4,Nonverifiable,0.34615384615384615,0.6206896551724138,0.4444444444444444
4,Negative,0.4375,0.9032258064516129,0.5894736842105263
4,Vague,0.49137931034482757,0.7037037037037037,0.5786802030456852
5,Subjective,0.25333333333333335,0.5352112676056338,0.3438914027149321
5,Ambiguous,0.5410628019323671,0.7466666666666667,0.6274509803921569
5,Nonverifiable,0.36942675159235666,0.6666666666666666,0.47540983606557374
5,Negative,0.4188034188034188,0.7903225806451613,0.547486033519553
5,Vague,0.38524590163934425,0.573170731707317,0.46078431372549017
